name,tailpipe_co2
Tesla Model S SA3EP Performance Hatch (2019-2020),0
Tesla Model S SA1EB Standard Range Hatch (2019-2020),0
Tesla Model X XA1EB Standard Range Hatch (2019-2020),0
Tesla Model X XA1EB Standard Range Hatch (2019-2020),0
Tesla Model X XA1EB Standard Range Hatch (2019-2020),0
Tesla Model X XA3EP Performance Hatch (2019-2020),0
Tesla Model X XA3EP Performance Hatch (2019-2020),0
Tesla Model X XA3EP Performance Hatch (2019-2020),0
Tesla Model X Long Range (XA3EB) SUV (2019-2020),0
Tesla Model X Long Range (XA3EB) SUV (2019-2020),0
Tesla Model X Long Range (XA3EB) SUV (2019-2020),0
Tesla Model 3 Long Range Dual Motor (E3DB) Sedan (2019-2020),0
Hyundai Ioniq EV Sedan (2019-2022),0
Nissan ZE1 LEAF Hatch (2019-2025),0
Jaguar I Pace I Pace 294kW Sedan Auto (2018-2025),0
Jaguar I Pace EV400 Sedan Auto (2018-2025),0
BMW I01 i3 BEV 94 Ah Sedan (2018-2025),0
BMW I01 i3s BEV 94 Ah Sedan (2018-2025),0
Jaguar I-Pace 400EV SUV Other (2018-2024),0
Hyundai Ioniq EV Sedan (2018-2019),0
Tesla Model S 100DB dual base motor Hatch (2017-2019),0
Tesla Model X 100XB dual base motor Hatch (2017-2019),0
Renault ZOE 15/16" Wheels Hatch (2017-2021),0
Renault ZOE 17" wheels Hatch (2017-2021),0
Tesla Model S 60RP Hatch (2017-2019),0
Tesla Model S 70RP Hatch (2017-2019),0
Tesla Model S 75RP Hatch (2017-2019),0
Renault Kangoo ZE Van (2017-2025),0
Tesla Model S 70 kWh Hatch (2016-2019),0
Tesla Model S 75 kWh Hatch (2016-2019),0
Tesla Model S 70 kWh Dual Motor Hatch (2016-2019),0
Tesla Model S 75 kWh Dual Motor  Hatch (2016-2019),0
Tesla Model S 90 kWh Dual Motor Hatch (2016-2019),0
Tesla Model S 90 kWh Performance Dual Motor Hatch (2016-2019),0
BMW I01 i3 BEV 94Ah Sedan Other (2016-2025),0
Tesla Model S 60 kWh Hatch (2016-2019),0
Tesla Model S 60 kWh Dual Motor Hatch (2016-2019),0
Tesla Model X 60 kWh Dual Motor Hatch (2016-2019),0
Tesla Model X 75 kWh Dual Motor Hatch (2016-2019),0
Tesla Model X 90 kWh Dual Motor Hatch (2016-2019),0
Tesla Model X 90 kWh Performance Dual Motor Hatch (2016-2019),0
Tesla Model X 100 kWh Performance Dual Motor Hatch (2016-2019),0
Tesla Model S 100 kWh Performance Dual Motor Hatch (2016-2019),0
Tesla Model S 85 kWh Dual Motor Hatch (2015),0
Tesla Model S 85 kWh Performance Dual Motor Hatch (2015),0
Tesla Model S 70 kWh Dual Motor Hatch (2015-2019),0
Tesla Model S 70 kWh Hatch (2015-2019),0
Tesla Model S 90 kWh Hatch (2015-2019),0
Tesla Model S 90 kWh Dual Motor Hatch (2015-2019),0
Tesla Model S 85 kWh Dual Motor Hatch (2015-2019),0
Tesla Model S 85 kWh Performance Dual Motor Hatch (2015-2019),0
Tesla Model S 90 kWh Performance Dual Motor Hatch (2015-2019),0
Tesla Model S 85 kWh Hatch (2014-2015),0
Renault Kangoo ZE Van (2014-2021),0
Tesla Model S 60 kWh Hatch (2014-2015),0
Tesla Model S 85 kWh Performance Hatch (2014-2015),0
BMW I01 i3 Sedan (2014-2019),0
Tesla Model S 85 kWh Hatch (2014-2019),0
Mitsubishi i car i-MiEV Wagon (2012-2016),0
Nissan Leaf Hatch (2012-2017),0
Tesla Roadster Convertible (2010-2013),0
Mitsubishi i car i MiEV Wagon (2009-2011),0
Leapmotor C10 1100 SUV (2025),21
MG HS SUPER HYBRID 1.5T SUV (2025),17
Haval H6 GT PHEV SUV (2025),19
BYD SEALION 6 Dynamic Wagon Auto (2024-2025),24
Kia Niro PHEV (16 Inch Wheels) SUV Auto (2022-2025),23
Kia Niro PHEV (18 Inch Wheels) SUV Auto (2022-2025),23
BMW i3 i3 REX 120 Ah Sedan Other (2019-2025),13
BMW i3 i3s REX 120 Ah Sedan Other (2019-2025),14
BMW I01 i3 REX 94 Ah Sedan Other (2018-2025),14
BMW I01 i3s REX 94 Ah Sedan Other (2018-2025),15
BMW I01 i3 Rex 94AH Sedan Other (2016-2019),13
BMW I01 i3 Sedan Other (2014-2019),13
Mercedes-Benz C Class C350e Sedan (2025),34
Mercedes-Benz E Class AMG E 53 Hybrid 4MATIC+ Sedan (2025),38
GWM Cannon Alpha 2.0T PHEV 9HAT 4WD Utility (2025),39
Kia Sorento GT-Line PHEV Wagon Auto (2024-2025),37
Jeep Compass 4xe Limited SUV Auto (2024-2025),47
Jeep Compass 4xe Summit SUV Auto (2024-2025),47
Mitsubishi Eclipse Cross ES PHEV SUV Other (2024-2025),43
Mitsubishi Eclipse Cross EXCEED PHEV SUV Other (2024-2025),43
Mitsubishi Eclipse Cross ASPIRE PHEV SUV Other (2024-2025),43
Mitsubishi Eclipse Cross XLS PHEV SUV (2024-2025),43
Mitsubishi Eclipse Cross GSR PHEV SUV (2024-2025),43
Mitsubishi Eclipse Cross XLS PLUS PHEV SUV (2024-2025),43
Audi Q8 60 TFSIe quattro SUV (2024-2025),40
Land Rover Range Rover P460e SWB 5 Seater Wagon (2024-2025),38
Land Rover Range Rover P460e LWB 5 Seater Wagon (2024-2025),38
Land Rover Range Rover P460e SWB 5 Seater Wagon (2024-2025),38
Land Rover Range Rover P460e LWB 5 Seater Wagon (2024-2025),38
Porsche Panamera Turbo S E-Hybrid Sedan Auto (2024-2025),47
Porsche Panamera Turbo E-Hybrid Sedan Auto (2024-2025),48
Lexus NX 450h+ (AWD) Wagon CVT (2024-2025),29
BYD SEALION 6 PREMIUM Wagon Auto (2024-2025),32
